iter	RMSE
224	4.638267191
225	4.634153326
226	4.629614991
227	4.627773221
228	4.622025111
229	4.617998636
230	4.615925417
231	4.614561367
232	4.61120449
233	4.60763687
234	4.605362427
235	4.598829425
236	4.594957598
237	4.588212887
238	4.584952575
239	4.583216298
240	4.578666288
241	4.577516217
242	4.572499422
243	4.568272984
244	4.563090872
245	4.559512075
246	4.553556157
247	4.549818184
248	4.548400851
249	4.543894838
250	4.542818479
251	4.538545747
252	4.537261664
253	4.530910596
254	4.528762626
255	4.527733179
256	4.525574725
257	4.523672753
258	4.523309327
259	4.520309698
260	4.517116965
261	4.515056485
262	4.511049748
263	4.505601785
264	4.502191712
265	4.499341199
266	4.497294822
267	4.494455099
268	4.492022324
269	4.487642369
270	4.484530579
271	4.479619184
272	4.478315579
273	4.475866247
274	4.473535993
275	4.470794616
276	4.468749712
277	4.466295488
278	4.46491974
279	4.462667778
280	4.458743675
281	4.453611562
282	4.452211467
283	4.450233071
284	4.449796623
285	4.448704777
286	4.445094936
287	4.442693165
288	4.436724563
289	4.435349134
290	4.433132566
291	4.426354221
292	4.420896338
293	4.415668547
294	4.412183848
295	4.409208459
296	4.408118941
297	4.402678945
298	4.398800326
299	4.397811255
300	4.396056179
301	4.391578211
302	4.391090839
303	4.387903463
304	4.383482581
305	4.379939544
306	4.379736461
307	4.379050681
308	4.377107312
309	4.373288887
310	4.369232
311	4.364493584
312	4.363212756
313	4.359118649
314	4.357038412
315	4.355000226
316	4.351243402
317	4.350175788
318	4.344782642
319	4.343061951
320	4.33630574
321	4.329444342
322	4.322712559
323	4.318345068
324	4.313918144
325	4.310389019
326	4.305354007
327	4.303564747
328	4.299018712
329	4.293546707
330	4.28739174
331	4.286851134
332	4.283902395
333	4.280303259
334	4.279454733
335	4.278410141
336	4.275256807
337	4.269169025
338	4.26872832
339	4.264959664
340	4.263245222
341	4.258175767
342	4.25237186
343	4.25029821
344	4.246288727
345	4.242167098
346	4.24136769
347	4.238277069
348	4.233376817
349	4.230190813
350	4.229167503
351	4.225619784
352	4.2224088
353	4.220977606
354	4.216261811
355	4.21028533
356	4.204634498
357	4.200700075
358	4.19864271
359	4.19413737
360	4.190246419
361	4.188566069
362	4.185167609
363	4.183937933
364	4.181551862
365	4.180994496
366	4.178000575
367	4.173177007
368	4.172091256
369	4.169765957
370	4.168180119
371	4.16479721
372	4.161114357
373	4.158623052
374	4.15543929
375	4.152179351
376	4.151235601
377	4.149855102
378	4.148155679
379	4.144183329
380	4.141324747
381	4.13808482
382	4.133348176
383	4.129350278
384	4.128517333
385	4.126147632
386	4.124449905
387	4.122990115
388	4.120737687
389	4.116901725
390	4.115586537
391	4.112611856
392	4.109104717
393	4.107139264
394	4.103947569
395	4.101334522
396	4.097285836
397	4.095923498
398	4.091004753
399	4.088659853
400	4.085080532
401	4.081485775
402	4.076428738
403	4.073357378
404	4.069811262
405	4.065429513
406	4.065071452
407	4.06300923
408	4.06131133
409	4.060109156
410	4.05814593
411	4.054831077
412	4.053316561
413	4.05124464
414	4.046943979
415	4.041892789
416	4.037749851
417	4.037347477
418	4.033286509
419	4.030270738
420	4.026853725
421	4.02517545
422	4.019443699
423	4.018954134
424	4.018193804
425	4.016634881
426	4.014843689
427	4.011504249
428	4.007896906
429	4.005883622
430	4.001176528
431	4.000767363
432	3.99682395
433	3.993720841
434	3.992912478
435	3.989803526
436	3.988843584
437	3.98595979
438	3.981636007
439	3.978146557
440	3.974375635
441	3.972058963
442	3.9678742
443	3.964778304
444	3.962944017
445	3.960352634
446	3.956283803
447	3.953804497
448	3.951132825
449	3.948483279
450	3.947509932
451	3.944398574
452	3.940985226
453	3.938933869
454	3.936082065
455	3.935674904
456	3.931015669
457	3.930647097
458	3.926034795
459	3.92307574
460	3.921539086
461	3.917612079
462	3.913541172
463	3.912026948
464	3.909436081
465	3.90394317
466	3.901973934
467	3.898902184
468	3.894977765
469	3.894087345
470	3.892160189
471	3.891798138
472	3.88810427
473	3.885196018
474	3.883411044
475	3.882831933
476	3.879247209
477	3.874779085
478	3.873683309
479	3.870799807
480	3.867442925
481	3.867102091
482	3.866052433
483	3.865646025
484	3.863922031
485	3.862267277
486	3.860948184
487	3.857923111
488	3.855304861
489	3.851839721
490	3.850086797
491	3.848189933
492	3.843559173
493	3.839851363
494	3.839538931
495	3.836536209
496	3.83383166
497	3.831090147
498	3.828832201
499	3.825944275
500	3.823957261
501	3.8220964
502	3.818336584
503	3.816399947
504	3.812862876
505	3.811660996
506	3.808100091
507	3.807949141
508	3.803847807
509	3.801160441
510	3.798089011
511	3.794614877
512	3.791977922
513	3.789312735
514	3.788985929
515	3.785216815
516	3.784206394
517	3.781120835
518	3.779054698
519	3.775062928
520	3.772825451
521	3.770764684
522	3.766913369
523	3.763476575
524	3.762547971
525	3.761333941
526	3.761023208
527	3.756890553
528	3.754903722
529	3.754431168
530	3.750683044
531	3.748504308
532	3.746019124
533	3.743471646
534	3.739552998
535	3.738430868
536	3.737746137
537	3.735473361
538	3.734233793
539	3.732794063
540	3.731849385
541	3.727213899
542	3.726105151
543	3.725096352
544	3.723323287
545	3.721798789
546	3.720986474
547	3.718445325
548	3.714909464
549	3.712313863
550	3.711206719
551	3.708560493
552	3.70758183
553	3.70474021
554	3.703319857
555	3.699847984
556	3.697839386
557	3.694284824
558	3.693711253
559	3.691012878
560	3.689184558
561	3.687332074
562	3.684995712
563	3.683255586
564	3.680059537
565	3.678619305
566	3.677218348
567	3.674088723
568	3.670508494
569	3.668528677
570	3.664376391
571	3.661457365
572	3.659721866
573	3.655739379
574	3.653324076
575	3.65227438
576	3.649303065
577	3.645966012
578	3.644877011
579	3.642990755
580	3.639748355
581	3.638784399
582	3.638335958
583	3.637970503
584	3.635046036
585	3.634762884
586	3.63146929
587	3.630705699
588	3.627306811
589	3.625664578
590	3.623116527
591	3.621177819
592	3.619140297
593	3.618666232
594	3.617110059
595	3.614919539
596	3.613260407
597	3.611943933
598	3.608691525
599	3.60552667
600	3.60447198
601	3.603965975
602	3.601900225
603	3.599866906
604	3.598358455
605	3.597334298
606	3.59428696
607	3.593816133
608	3.591138002
609	3.588143062
610	3.585828094
611	3.582976976
612	3.582713317
613	3.580542356
614	3.577452664
615	3.573810843
616	3.572327298
617	3.568926709
618	3.566828564
619	3.565671082
620	3.564224903
621	3.561496713
622	3.558723243
623	3.556520872
624	3.552497948
625	3.549862723
626	3.548180934
627	3.54579701
628	3.541957411
629	3.539174685
630	3.538580981
631	3.53647976
632	3.533737513
633	3.530445711
634	3.527493985
635	3.52682117
636	3.525641306
637	3.523471625
638	3.521710265
639	3.519269004
640	3.516884645
641	3.513408739
642	3.511546074
643	3.508591097
644	3.507487884
645	3.504234067
646	3.50346106
647	3.499785788
648	3.496705823
649	3.494378696
650	3.492044056
651	3.490517213
652	3.489426208
653	3.48794014
654	3.485565113
655	3.483922805
656	3.482933079
657	3.482090221
658	3.481974573
659	3.480501289
660	3.478824867
661	3.476891682
662	3.474371776
663	3.471377047
664	3.469990386
665	3.46742469
666	3.465679325
667	3.463059114
668	3.460649664
669	3.459974009
670	3.458559199
671	3.456671316
672	3.454584699
673	3.452353621
674	3.449507626
675	3.447705203
676	3.445482953
677	3.442603195
678	3.440991508
679	3.439167469
680	3.437407041
681	3.435892128
682	3.434245479
683	3.430174098
684	3.427931905
685	3.425311638
686	3.424329868
687	3.422943762
688	3.422606061
689	3.419307792
690	3.418194525
691	3.417127835
692	3.414347331
693	3.41148497
694	3.410994134
695	3.408174992
696	3.40721111
697	3.404007278
698	3.402244914
699	3.401249642
700	3.399406497
701	3.395837766
702	3.39425124
703	3.392474858
704	3.390421307
705	3.389276301
706	3.388799157
707	3.387108967
708	3.386658449
709	3.384137041
710	3.382590462
711	3.380080504
712	3.377876464
713	3.376786506
714	3.374300204
715	3.373784526
716	3.370765707
717	3.369923743
718	3.367798586
719	3.365893859
720	3.364592176
721	3.363955126
722	3.362776669
723	3.360361386
724	3.358752645
725	3.35736056
726	3.355088429
727	3.352075754
728	3.351652838
729	3.34918975
730	3.347390965
731	3.344576897
732	3.342987584
733	3.340159586
734	3.337795912
735	3.335515232
736	3.333432268
737	3.333093488
738	3.331399347
739	3.328964812
740	3.327151749
741	3.323707901
742	3.321684333
743	3.320174709
744	3.319721026
745	3.317354418
746	3.31578753
747	3.314197088
748	3.313242147
749	3.311398769
750	3.309085756
751	3.306040868
752	3.303141054
753	3.301890975
754	3.300198414
755	3.297270518
756	3.293350317
757	3.291192738
758	3.289138279
759	3.288627691
760	3.285595554
761	3.28485348
762	3.284566394
763	3.282252055
764	3.278614628
765	3.276490293
766	3.273650779
767	3.272146102
768	3.271584291
769	3.269122207
770	3.266775878
771	3.264603593
772	3.26251854
773	3.261406782
774	3.260672085
775	3.258468333
776	3.257717443
777	3.254916847
778	3.253190375
779	3.250007447
780	3.248412778
781	3.245987363
782	3.24484792
783	3.243692956
784	3.240880238
785	3.238900495
786	3.236949889
787	3.235559077
788	3.23303074
789	3.231721946
790	3.230020487
791	3.228233597
792	3.226874327
793	3.225798753
794	3.223366595
795	3.221116134
796	3.218242779
797	3.216348991
798	3.214503995
799	3.211692905
800	3.210349626
801	3.20830155
802	3.20668022
803	3.204537306
804	3.202984485
805	3.201727305
806	3.199696319
807	3.197067244
808	3.196196135
809	3.192968335
810	3.191538291
811	3.189601682
812	3.188408924
813	3.187055462
814	3.184955958
815	3.183952468
816	3.182469643
817	3.18125689
818	3.180829591
819	3.179137444
820	3.177631718
821	3.175543231
822	3.174004118
823	3.173131534
824	3.171147959
825	3.169612889
826	3.168097043
827	3.166524226
828	3.165437046
829	3.16428367
830	3.163599155
831	3.163431471
832	3.162506152
833	3.159926262
834	3.15748439
835	3.155099118
836	3.152679606
837	3.151050654
838	3.148713783
839	3.148407437
840	3.148106408
841	3.145737477
842	3.14326868
843	3.141596187
844	3.139687818
845	3.136046636
846	3.134110645
847	3.133044266
848	3.131637446
849	3.130730427
850	3.130341575
851	3.130046169
852	3.127088427
853	3.126829946
854	3.124781915
855	3.124053653
856	3.122146594
857	3.120012596
858	3.117662951
859	3.115828646
860	3.115078799
861	3.114746533
862	3.111853291
863	3.110521994
864	3.108547418
865	3.106216474
866	3.104686561
867	3.103846145
868	3.103644924
869	3.103262779
870	3.101802158
871	3.09950439
872	3.097342119
873	3.095559224
874	3.095095849
875	3.094622568
876	3.09187601
877	3.090447376
878	3.090075676
879	3.088824705
880	3.086953482
881	3.085861382
882	3.084900754
883	3.082117436
884	3.079883497
885	3.076556325
886	3.075154386
887	3.074072846
888	3.071906813
889	3.069790355
890	3.068937643
891	3.067983241
892	3.067709261
893	3.06634642
894	3.063337631
895	3.062304831
896	3.06090384
897	3.060070461
898	3.057732278
899	3.055514642
900	3.052988499
901	3.050921475
902	3.049566668
903	3.048409004
904	3.045631137
905	3.045452309
906	3.04455116
907	3.042436898
908	3.03986249
909	3.039082789
910	3.03734519
911	3.034786764
912	3.031691403
913	3.031530828
914	3.029829427
915	3.029572411
916	3.028823373
917	3.026110845
918	3.025322421
919	3.025016406
920	3.024029075
921	3.022799819
922	3.022493624
923	3.020259211
924	3.019243322
925	3.018656952
926	3.017598741
927	3.017217771
928	3.015359304
929	3.013359449
930	3.012709045
931	3.010687354
932	3.0099628
933	3.009383651
934	3.007890869
935	3.007084289
936	3.00612149
937	3.004400422
938	3.002492187
939	3.002218216
940	3.002022346
941	3.000227995
942	3.000060255
943	2.999123149
944	2.996417702
945	2.996283937
946	2.99458371
947	2.992654911
948	2.992338282
949	2.990087732
950	2.988909736
951	2.988361694
952	2.98623662
953	2.985595173
954	2.984493744
955	2.981632481
956	2.981345109
957	2.979803214
958	2.978843635
959	2.977451818
960	2.975356884
961	2.974270116
962	2.972961722
963	2.970501723
964	2.968584547
965	2.966131994
966	2.963194115
967	2.962546328
968	2.960627554
969	2.958657687
970	2.957427387
971	2.95588504
972	2.952750618
973	2.950917369
974	2.949684797
975	2.948321349
976	2.946142467
977	2.945023571
978	2.943081793
979	2.942777568
980	2.941801422
981	2.939477092
982	2.936793091
983	2.934974746
984	2.933886792
985	2.933480974
986	2.93167127
987	2.929311774
988	2.92870564
989	2.92844171
990	2.92592145
991	2.925017079
992	2.92448247
993	2.923885826
994	2.922879413
995	2.922798526
996	2.922030288
997	2.920502192
998	2.918982639
999	2.918400782
